0,50290,91691,98075,170030,720420,1366690,2815640,4443090,5858012160000
50290,0,41400,41784,119740,670130,1316400,2765350,4392800,58097318400
91691,41400,0,384,78340,628730,1275000,2723950,4351400,7500000000
92039,41784,384,0,78724,629114,1275380,2724334,4351784,7500384000
170030,119740,78340,78724,0,550390,1196660,2645610,4273060,5680984320
720420,670130,628730,629114,550390,0,646270,2095220,3722670,5133807360
1366690,1316400,1275000,1275380,1196660,646270,0,1448950,3076400,4490069760
2815640,2765350,2723950,2724334,2645610,2095220,1448950,0,1627450,3041660160
4443090,4392800,4351400,4351784,4273060,3722670,3076400,1627450,0,544840000
5858012160000,58097318400,7500000000,7500384000,5680984320,5133807360,4490069760,3041660160,544840000,0
